authorId,name
2112823459,Yue Cao
26339028,Thomas A. Geddes
49307536,J. Yang
1745108,Pengyi Yang
145382786,Chao-Kai Wen
36110177,Wan-Ting Shih
145824256,Shi Jin
3074927,Vincent Dumoulin
2077146,Francesco Visin
3007442,Behnam Neyshabur
46948352,D. McAllester
1706280,N. Srebro
9419790,Amitha Mathew
32210847,P. Amudha
3287129,S. Sivakumari
1905897,H. Chan
3423854,Ravi K. Samala
2591670,Lubomir M. Hadjiiski
1643124213,Chuan Zhou
1923674,G. Marcus
38824219,E. Stevens
3029482,L. Antiga
145401977,M. Raissi
2144453172,Jian Huang
152423753,J. Chai
2111879988,Stella Cho
3383528,Benjamin Shickel
40449634,P. Tighe
5484714,A. Bihorac
1715006,Parisa Rashidi
145178229,A. Fuentes
144056872,Sook Yoon
2157122891,Sang Cheol Kim
2172680,D. Park
40171292,Sidharth Mudgal
144824431,Han Li
145071799,Theodoros Rekatsinas
3030274,A. Doan
33733502,Youngchoon Park
144707068,Ganesh Krishnan
2349874,Rohit Deep
2064373270,Esteban Arcaute
145005772,V. Raghavendra
1682418,C. Aggarwal
2115475379,Dong-Hyun Lee
22656934,Hwanjun Song
2116505638,Minseok Kim
2143422191,Jae-Gil Lee
10115554,Jeremy Nixon
144477225,Michael W. Dusenberry
2144125812,Linchuan Zhang
3451901,Ghassen Jerfel
47497262,Dustin Tran
49199170,M. Lutter
2055442173,Christian Ritter
145197867,Jan Peters
2145593249,Hongyu Liu
2055226664,Bo Lang
3404939,Heng Shi
47723318,Minghao Xu
144331745,Ran Li
2127378914,Chen Chen
143771778,C. Qin
152128293,Huaqi Qiu
32389902,G. Tarroni
145111198,J. Duan
2064774,Wenjia Bai
1717710,D. Rueckert
2285802602,Dietmar P. F. Möller
72167909,Vegard Antun
1797591,F. Renna
7449825,C. Poon
1680184,B. Adcock
145920634,A. Hansen
2927870,Praneeth Vepakomma
145418561,O. Gupta
2161276,Tristan Swedish
145711633,R. Raskar
51148392,Jiasi Weng
145369053,J. Weng
35834541,Ming Li
144644709,Weiqi Luo
2665454,T. Jo
2177008,K. Nho
7992909,A. Saykin
3008587,Xingjian Shi
35982380,Zhihan Gao
8789103,Leonard Lausen
49528584,Hao Wang
1739816,D. Yeung
145771919,W. Wong
2183294,W. Woo
35144077,Ashima Yadav
47731526,D. Vishwakarma
1400362344,Muhammad Hammad Saleem
108360377,J. Potgieter
